,action,block_time,cost_basis,estimated_profit,ranking,token,traded_token,volume,wallet_address
84,sell,2021-07-04 18:26:27.000 UTC,41.368698110551215,,85,CORN,WMATIC,0.03775549532250239,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
85,buy,2021-07-04 11:57:05.000 UTC,41.62302347546277,,86,CORN,WMATIC,0.023411458528147872,"<a href=https://polygonscan.com//address/0x068afdb95a14e65b88e11c59a132d2bcab949ba4 target=_blank"">0x068afdb95a14e65b88e11c59a132d2bcab949ba4</a>"
86,sell,2021-07-04 18:05:19.000 UTC,,,87,CORN,Krill,,"<a href=https://polygonscan.com//address/0x55a51de746064c1dccf29ed205f4510889fd95ff target=_blank"">0x55a51de746064c1dccf29ed205f4510889fd95ff</a>"
87,buy,2021-07-05 06:08:02.000 UTC,,,88,CORN,Krill,,"<a href=https://polygonscan.com//address/0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f target=_blank"">0xb4f3ebda3ca71ab34c2b415a2e41bca6f8e82e1f</a>"
88,sell,2021-11-04 04:37:17.000 UTC,15.200424535901648,,89,CORN,WMATIC,0.012190049729746194,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
89,sell,2021-05-28 10:20:23.000 UTC,51.37790492300865,,90,CORN,WMATIC,51.83711115840788,"<a href=https://polygonscan.com//address/0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff target=_blank"">0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff</a>"
90,sell,2021-08-28 12:16:08.000 UTC,30.506963924506703,,91,CORN,WMATIC,0.014374002161479865,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
91,buy,2021-06-18 07:28:40.000 UTC,52.50139228712343,,92,CORN,WMATIC,0.06383697509765625,"<a href=https://polygonscan.com//address/0x068afdb95a14e65b88e11c59a132d2bcab949ba4 target=_blank"">0x068afdb95a14e65b88e11c59a132d2bcab949ba4</a>"
92,buy,2021-06-11 03:10:58.000 UTC,40.55678834392941,,93,CORN,WMATIC,9.344346255158287,"<a href=https://polygonscan.com//address/0x19e02b992c0295d27eecff941d5dbfaf85409d86 target=_blank"">0x19e02b992c0295d27eecff941d5dbfaf85409d86</a>"
93,sell,2021-10-04 10:00:48.000 UTC,14.700620462511493,,94,CORN,WMATIC,29.401240925022986,"<a href=https://polygonscan.com//address/0x6e7a5fafcec6bb1e78bae2a1f0b612012bf14827 target=_blank"">0x6e7a5fafcec6bb1e78bae2a1f0b612012bf14827</a>"
94,sell,2021-06-24 12:07:57.000 UTC,,,95,CORN,Krill,,"<a href=https://polygonscan.com//address/0x55a51de746064c1dccf29ed205f4510889fd95ff target=_blank"">0x55a51de746064c1dccf29ed205f4510889fd95ff</a>"
95,buy,2021-08-26 13:17:31.000 UTC,22.205924813699216,,96,CORN,WMATIC,2.3933920245976505,"<a href=https://polygonscan.com//address/0xbd0efcc70fa475fd072a645f40d6237e7cc22fb8 target=_blank"">0xbd0efcc70fa475fd072a645f40d6237e7cc22fb8</a>"
96,buy,2021-06-15 01:38:15.000 UTC,52.11031218253657,,97,CORN,WMATIC,52.02752369611029,"<a href=https://polygonscan.com//address/0x1f17e5e7796b0d0f69a8e57a200aaa94affb81a1 target=_blank"">0x1f17e5e7796b0d0f69a8e57a200aaa94affb81a1</a>"
97,sell,2021-07-05 01:36:24.000 UTC,40.19483322728777,,98,CORN,WMATIC,0.027717622135185676,"<a href=https://polygonscan.com//address/0x28e73c83c0f85784543300b96a1a3c2e900f7a35 target=_blank"">0x28e73c83c0f85784543300b96a1a3c2e900f7a35</a>"
98,buy,2021-10-07 15:46:16.000 UTC,14.615218610536068,,99,CORN,WMATIC,2.5539658916561487,"<a href=https://polygonscan.com//address/0xeea5c309a371d6351acfc8d7a969b114250999bb target=_blank"">0xeea5c309a371d6351acfc8d7a969b114250999bb</a>"
99,sell,2021-06-18 23:48:17.000 UTC,49.345596954329864,,100,CORN,WMATIC,0.09762490461396438,"<a href=https://polygonscan.com//address/0x22160911a56bbda683ac09335886eb570e340dac target=_blank"">0x22160911a56bbda683ac09335886eb570e340dac</a>"
